WigleWifi-1.4,appRelease=2.25,model=GT-N7100,release=4.4.2,device=t03g,display=Android Revolution HD 31.0 by mike1986,board=smdk4x12,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
78:d3:8d:f7:d6:26,VAmezuka2.4TEST,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:38:43,7,-85,32.3072971173145,34.9011763431522,57.3795077430964,24,WIFI
42502_33611_4062560,GOLAN T,HSDPA;il,2017-11-03 22:38:43,0,-71,32.3072971173145,34.9011763431522,57.3795077430964,24,GSM
42502_33611_4062560,GOLAN T,HSDPA;il,2017-11-03 22:38:48,0,-63,32.3064485902607,34.9009929355674,58.9263811049049,12,GSM
78:d3:8d:f7:d6:26,VAmezuka2.4TEST,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:38:51,7,-81,32.3059207849187,34.9008906942906,59.7455768764677,24,WIFI
42502_33611_4062560,GOLAN T,HSDPA;il,2017-11-03 22:38:57,0,-61,32.305099784251,34.9007472833391,59.5753304287101,16,GSM
ce:79:4a:4e:f1:e9,???? ?? ???,[WPA2-PSK-CCMP][WPS][ESS],2017-11-03 22:39:09,6,-96,32.304568841159,34.9006391873205,63.1216769982704,16,WIFI
42502_33611_4042557,GOLAN T,HSDPA;il,2017-11-03 22:39:09,0,-59,32.304568841159,34.9006391873205,63.1216769982704,16,GSM
78:d3:8d:f7:d6:26,VAmezuka2.4TEST,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:39:17,7,-89,32.3036524496517,34.9004866186708,59.3641368787492,16,WIFI
42502_33611_4062560,GOLAN T,HSDPA;il,2017-11-03 22:39:17,0,-63,32.3036524496517,34.9004866186708,59.3641368787492,16,GSM
78:d3:8d:f7:d6:26,VAmezuka2.4TEST,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:39:20,7,-84,32.3032108919677,34.9003766360265,57.9274889915837,12,WIFI
